epoch;train_loss;val_loss
1;649.9909663365455;347.53260347043727
2;277.70391526239524;329.78396836232713
3;261.09555913495655;326.023033911821
4;251.9401746021023;321.9388354043932
5;246.71515205753073;315.7611080248915
6;243.5244085687322;310.0737928962142
7;240.83313432763285;308.67445306749653
8;238.66668682809006;305.0299315523323
9;237.84522924728216;304.473815510464
10;236.07638319136873;303.4175122880794
11;235.1151945024208;303.11224409380725
12;234.04434112790312;305.72950754816526
13;233.0537880992795;301.0262582818549
14;232.2165821325728;303.1129773533309
15;231.5593782670813;302.9471074905169
16;230.84146455235896;299.0959259282234
17;230.16843262624317;304.13906537743634
18;229.47531028317414;300.8308446301197
19;229.0696502016434;302.78559127264276
20;228.47792688125122;299.58806546717796
21;227.99077723421675;300.7819928585245
22;227.21141526913667;300.68996018542737
23;227.0552889417981;298.7346571687421
24;226.96604424893874;298.7026956597846
25;226.21525409722383;299.9834993402045
26;225.8699301201795;300.2387888084887
27;225.33835699909636;298.68468769650786
28;225.19700936991273;301.0041127303941
29;224.77211724748872;298.26992320165436
30;224.92922021782206;301.4377637461314
31;224.34100663272847;300.187059238332
32;223.8453944300882;299.414388956585
33;223.70001073045538;298.5861520738913
34;223.61265021128267;299.1403681701298
35;223.34218770475857;298.8683943932417
36;222.5811801964483;297.5301235889469
37;222.19700300831076;298.1280482487438
38;222.1726625180268;300.334669865911
39;221.90107208362633;297.45611677537687
40;221.6083746110493;305.29662347901115
