iteration;train_loss
1;234.29474354702177
2;135.69321930951867
3;134.11063130929006
4;131.32302899542597
5;129.9785594175715
6;128.0826637589213
7;125.89554005770198
8;124.29923488444487
9;123.49697095913854
10;123.10023291175878
11;122.22453729054264
12;121.63078239421225
13;122.57620806561245
14;120.56505853392503
15;120.19855856389312
16;119.74357682719028
17;119.23271157372149
18;119.02126803609926
19;118.54621289654001
20;118.36818695371124
21;117.89402473708533
22;117.40795733782781
23;117.1672378408172
24;116.66059618575015
25;116.49569271305484
26;116.23862950255501
27;115.99458374626535
28;115.70357921994973
29;115.34613576104128
30;115.26199538100872
31;114.88324968623627
32;114.72420619421789
33;114.39853448061353
34;114.30843354031505
35;113.92968599230214
36;114.1288262099001
37;113.60278247962525
38;113.48627530101595
39;113.24732651808863
40;113.23583696203697
41;112.9667739899839
42;112.87627505790813
43;112.69303281038117
44;112.78745035193462
45;112.34157585872052
46;112.32352251073651
47;112.2165119629523
48;112.06949874366268
49;111.92502752388832
50;111.80818599584622
51;111.66927437405198
52;111.59063508648005
53;111.36917111499226
54;111.36638922276664
55;111.23689295193235
