epoch;train_loss;val_loss
1;390.72465347393535;193.6356970709667
2;154.3105181928828;190.88235028933363
3;149.59935535786937;186.26098607611237
4;147.48782704136198;189.86979016225936
5;145.82209126659396;187.24355881395397
6;144.33179499401743;183.75348997743507
7;143.56668666867176;182.60447960987426
8;142.7539856031243;181.4656580609885
9;142.2029457569471;183.74964603764272
10;141.55566653689405;180.46794390085844
11;141.46144482243332;181.65002569259957
12;140.97925608009572;180.08067018665068
13;140.39764032680725;183.4029920310305
14;140.1059646293486;179.53819662158253
15;140.0420154625449;180.65092088743958
16;139.82073689893707;179.41178850054044
17;139.5846234182854;179.4485667780129
18;139.59434245539256;183.33756792057326
19;139.1795737119589;178.49213668895743
20;139.191633928956;180.7554624652305
21;138.85912383049086;183.21046713639421
22;138.78213297018385;180.1812991259391
23;138.61641748990897;180.83693527896503
24;138.82627225443133;179.99086278014713
25;138.7865920968916;180.0306994008739
26;138.37663776424662;180.46364366380791
27;138.28202100807545;179.9866704459776
28;138.22825508971343;179.56645905483535
29;138.21590482023745;180.0748886427684
