feature;importance_mean;importance_std
Rank;25.06002445676036;0.11919829425201017
Points (Total);21.295961758534695;0.10737446925665668
Points_rolling_mean_4w;7.141829904346454;0.04161200796232852
Rank_rolling_mean_4w;3.4435491717608406;0.020268714979284095
Rank_last_week;2.2537517646963954;0.03067612707395721
Points_last_week;0.5558274358430045;0.011923537199505336
Rank_change;0.24529227869324943;0.006464292997158961
Weeks_on_chart;0.24351721762415995;0.010325668077284241
Points_change;0.1839816425577764;0.0069171032724880035
Valence;0.054116748174165875;0.004984431166773442
Artist_Hotness;0.028646683444506316;0.0032407217517611523
Danceability;0.025173883764371574;0.002989898864930829
Energy;0.02123335765782448;0.0036300866470191985
Loudness_Corrected;0.01415281938833477;0.0035557842304583826
Acousticness;0.009972784821919146;0.003384046733498146
Artist_Count;0.004876521524912381;0.002567675527972371
Instrumentalness;0.00015112915180166554;0.0009460271999934992
Nationality_Count;-0.0019625325394846626;0.0013010743948277195
Speechiness;-0.005133283130795796;0.0030415474821670753
