feature;importance_mean;importance_std
Rank;24.94277919438035;0.09902216179333206
Points (Total);21.788452363631578;0.09711586682221209
Points_rolling_mean_4w;5.188080810407693;0.03773423229090537
Rank_rolling_mean_4w;3.535605324568072;0.03522180015890074
Points_last_week;1.374103799116225;0.016715670012179946
Rank_last_week;1.0471175545329268;0.02592247525796562
Weeks_on_chart;0.21241770117243322;0.00839328294361129
Rank_change;0.11804073990375671;0.005144732058068529
Points_change;0.0992020901517308;0.003207234883446857
Danceability;0.019859677759534743;0.001655725697076177
Valence;0.01685532074306737;0.002904509211353293
Artist_Hotness;0.016452032071688195;0.002173332459378326
Acousticness;0.009524886230567464;0.002254356355200247
Energy;0.009205310955505298;0.0025433763424801987
Loudness_Corrected;0.005299421464633714;0.002860485804515925
Instrumentalness;0.0015022530926508183;0.0007082532067831329
Artist_Count;0.0005156146470706169;0.0008447475548407355
Nationality_Count;-4.070027341924742e-05;0.001444106776852353
Speechiness;-0.003009174432406958;0.002623543455231434
