feature;importance_mean;importance_std
Rank;16.49921795046307;0.16632153203650327
Points (Total);11.052990994452603;0.13495635394074107
Rank_rolling_mean_4w;6.316174546468626;0.07912403224119542
Points_rolling_mean_4w;5.897043537073825;0.07897214017529994
Weeks_on_chart;0.8372443161243396;0.01948844348811085
Points_last_week;0.2437220713580734;0.014599941454859829
Rank_last_week;0.13091617177483866;0.013014004957998185
Valence;0.092701313392819;0.009683810812666834
Danceability;0.08373538077909366;0.009847365905010005
Artist_Hotness;0.07781859904896464;0.009144550137337362
Acousticness;0.019382760535719433;0.004039290646899648
Energy;0.018431886988407163;0.002934779437539539
Loudness_Corrected;0.018291289578458426;0.004227288865632446
Rank_change;0.017024532494328604;0.007240682403117825
Points_change;0.008481624867414972;0.006999839635505496
Artist_Count;0.0037641179178885763;0.0015328601638647454
Nationality_Count;-0.004994486398473263;0.0033624348077182006
Instrumentalness;-0.010066102124354081;0.005312265793777567
Speechiness;-0.015859753951018796;0.0033532698722512615
