epoch;train_loss;val_loss
1;384.7047751534141;193.40352487982366
2;154.7149324339649;189.04244385964688
3;150.3540260114926;186.63259110394975
4;148.12939518288744;185.87190256063005
5;146.65428924831676;183.93812132927408
6;145.44574388126463;182.88696064447103
7;144.5607248779122;185.17115026956412
8;143.38628475784762;186.33751690039162
9;142.57529576614303;182.22564957295245
10;142.47540439086387;180.73838466928717
11;141.5439593954445;183.13053063969863
12;141.27941558812483;181.5613188286971
13;141.162752707767;179.6075072121202
14;141.03617772172151;179.62672246060177
15;140.59797386855465;180.00211369991302
16;140.0221415082733;181.02244923895563
17;140.0164898547099;180.83455603617674
18;139.8786035463663;179.03010797291472
19;139.8479029958578;183.00781537322274
20;139.52935505842913;180.15404399026903
21;139.2910602333466;179.15698663219374
22;139.2200697935351;180.07681527890657
23;139.11961329019135;181.78381072324618
24;138.74374750605375;178.81440406863453
25;138.50652258464513;179.62331023969148
26;138.63836288514122;178.4802468129766
27;138.45889998291813;179.04791696029798
28;138.45866117894954;180.81549821471611
29;138.08530779747076;179.08575839187668
30;137.9507843919583;178.96466123500065
31;137.84096492170542;177.80042379223116
32;137.8941048093896;178.36955732769437
33;137.8386148238645;179.77469908145437
34;137.64177438082;178.89027992605466
35;137.93531235067493;177.01269345534476
36;137.67920242859884;180.87140857824807
37;137.0812886524487;179.4632904104322
38;137.09199157708957;177.69684233930377
39;137.0272539187752;179.11071540319432
40;136.87382793612431;178.10305940128907
41;136.8490524192062;180.9917079454277
42;136.73557515059522;178.28199049255304
43;136.41549373515468;178.7880521587461
44;136.26593517600622;178.89757928374217
45;136.46423543840658;177.7031624379911
