feature;importance_mean;importance_std
Rank;16.10403781785079;0.07679835258381269
Points (Total);15.776677683035597;0.07859896521149065
Points_rolling_mean_4w;5.25161475486469;0.04594512287930456
Rank_rolling_mean_4w;3.912806027783804;0.04714331811038931
Points_last_week;0.783748339355075;0.02689578498191372
Weeks_on_chart;0.4341673906719429;0.02138405801804017
Rank_last_week;0.1837087662716037;0.011252525935537456
Rank_change;0.11888427988014864;0.00571616941759432
Points_change;0.07831884561018114;0.005255522724086773
Valence;0.06888524032271501;0.003056817825337044
Danceability;0.054741561792462076;0.0032954801779810153
Artist_Hotness;0.026264355317083245;0.0037039180984822294
Loudness_Corrected;0.01609106062973762;0.0035046903066621275
Acousticness;0.015746897799102832;0.0023273957086172516
Energy;0.015125827475392307;0.0023521385277321624
Instrumentalness;0.007824918355596112;0.0019682398914090487
Artist_Count;0.0022255782786984924;0.0013211181740134337
Speechiness;0.0006227977320824252;0.0037052763144393773
Nationality_Count;-0.0004173924105652205;0.001858893056658283
