iteration;train_loss
1;574.5052007722593
2;185.74238811325293
3;181.2457728598215
4;178.04446884498225
5;174.26619187188197
6;171.3898617007446
7;169.75311181052834
8;167.90012198247842
9;166.45609419622718
10;165.92050562660026
11;164.45205822493594
12;163.74509201912355
13;162.8991725932264
14;162.60456728526864
15;161.70243829754966
16;161.12396198694455
17;161.04636280429372
18;160.49513806363385
19;159.69006502293314
20;159.73695329316786
21;159.44638044679164
22;158.89225296039155
23;158.6557719569169
24;158.64990968042378
25;158.6253975453451
26;157.52281567929398
27;157.5445895702528
28;157.5239432188751
29;157.13487863640725
30;157.1343913812103
31;156.69577538532752
32;156.49983376573567
33;156.0339940230537
34;155.85579662723018
35;155.8556088544731
36;155.94217479098165
37;155.19129802041647
38;155.34104915447335
39;155.283116925703
40;155.22434468509226
41;154.8349218214842
42;154.8527034668099
43;154.45357275467396
44;154.22831781281923
45;154.2404829894433
46;154.39881398584663
47;153.8703498610102
48;153.85193370637356
49;153.98654176995194
50;153.50348099503074
51;153.40861236336647
52;153.59276643364478
53;153.15234076713378
54;153.16104581477998
55;153.11485701799114
56;152.87282019588713
57;152.83611505113777
