epoch;train_loss;val_loss
1;683.0691370349334;339.5594165473734
2;282.1194437129483;332.7845379860536
3;262.9249114285905;326.9036479576405
4;252.92453276863438;319.14246761197506
5;247.1625061638867;315.0554058403219
6;243.44617147725523;310.0103630496062
7;241.2311886348152;308.7290425626036
8;239.4914275992243;309.1017535065331
9;238.2308562970814;308.13893421750396
10;236.8370390733869;306.65617385320917
11;235.8467189588839;306.4024602284417
12;234.90059529551962;306.5923522360601
13;234.03519149413017;303.3921415176165
14;233.67712151552246;306.0340290126178
15;233.02755722463465;306.073675172619
16;232.29666331385843;304.795006488834
17;231.86586315734843;305.67760245665596
18;230.94235288857078;303.5802795342239
19;230.4024774165897;299.988006614436
20;230.03891116229372;303.174295532951
21;229.7104334291986;305.4843758489682
22;228.86534613192063;304.6325325329155
23;228.63555823935167;302.110597921762
24;228.46982957819213;301.0838493777312
25;227.78107852854038;302.628691132769
26;227.307689652913;302.14165686995057
27;227.18789834595734;300.95480926242004
28;226.47005103941683;298.9036185833396
29;226.17391407580175;302.06533172788534
30;225.6308552270041;302.2416846844138
31;225.32345090539707;308.8488513369235
32;224.867097911841;298.3715068692623
33;224.55136476913538;299.3241291895111
34;224.4085546204881;299.5847965546107
35;224.14063026989172;297.1319268563381
36;223.71603525616413;299.6834726078928
37;223.25333293860712;303.4555078840397
38;223.162448451655;298.8116873449671
39;222.93247002042878;300.07362845672696
40;222.76001761386468;299.87644947176517
