feature;importance_mean;importance_std
Rank;13.699970428598021;0.11126488287791327
Points (Total);13.699966221916608;0.11126486172372843
Points_rolling_mean_4w;8.992418481371491;0.09679466865411146
Rank_rolling_mean_4w;8.364354048322706;0.09934427665717532
Rank_last_week;0.8213970995535819;0.036370396878871794
Points_last_week;0.44755070892075305;0.02860640198384317
Speechiness;0.03933060695943702;0.004938108930824481
Nationality_Count;0.018939388683344483;0.0022626631920469077
Rank_change;0.0183601483706747;0.0016735322734754462
Points_change;0.018360133257556477;0.0016735310803575557
Valence;0.00959727558296759;0.00464794842830661
Artist_Count;0.0023029095248860544;0.00042247483547471274
Weeks_on_chart;0.0006103947296386636;0.00501977163706558
Acousticness;0.0003895568733263133;0.0011693191255250177
Loudness_Corrected;-5.154591957747812e-05;9.316910367791387e-06
Energy;-0.001116843089877939;0.00042121078174835
Instrumentalness;-0.0034372917309616114;0.0020620619817862244
Danceability;-0.0038064341554633783;0.0010751980518345788
Artist_Hotness;-0.020606124602013942;0.004051739935651759
